project_id,project_title,award_amount_m,award_holder_name,hrcs_health_category,inpmceurope,trialscientific,trialpubtype,trialidtype
02/06/02,"Long-term randomised controlled trial in primary care of the effectiveness and cost-effectiveness of  levonorgestrel containing coil (Mirena) against standard treatment
for menorrhagia: LAST trial",1.43439308,Professor Janesh Gupta,Reproductive Health and Childbirth,TRUE,TRUE,TRUE,FALSE
04/35/08,Folate Augmentation of Treatment - Evaluation for Depression: randomised controlled trial (FolATED),1.59102827,Emeritus Professor Ian Russell,Mental Health,TRUE,TRUE,TRUE,FALSE
05/47/02,The clinical and cost-effectiveness of arthroscopic versus open surgical repair for tears of the rotator cuff (UKUFF trial),1.81234622,Professor Andrew Carr,Musculoskeletal,TRUE,TRUE,TRUE,FALSE
05/503/10,MAGnesium NEbuliser Trial In Children (MAGNETIC),0.532889,Dr Colin Powell,Respiratory,TRUE,TRUE,TRUE,TRUE
05/506/03,Control of Hyperglycaemia in Paediatric intensive care trial (the CHIP trial),1.449168,Dr Duncan Macrae,Metabolic and Endocrine,FALSE,TRUE,FALSE,FALSE
05/515/01,"Prospective multi-centre randomised, double-blind, equivalence study comparing clonidine and midazolam as intravenous sedative agents in critically ill children. The SLEEPS Study (Safety ProfiLe, Efficacy and Equivalence in Paediatric intensive care Sedation)",0.830245,Professor Andrew Wolf,Generic Health Relevance,TRUE,FALSE,TRUE,FALSE
05/04/01,A longitudinal cohort study of people with lysosomal storage disorders,1.48907669,Professor Stuart Logan,Metabolic and Endocrine,TRUE,FALSE,FALSE,FALSE
06/02/01,Older People's Exercise intervention in Residential and nursing Accommodation (OPERA),1.957884,Professor Martin Underwood,Mental Health,TRUE,TRUE,TRUE,FALSE
06/303/205,"A randomised phase III trial of Docetaxel plus Prednisolone vs. Docetaxel with Prednisolone plus either Zoledronic acid,  Strontium-89 or both agents combined (TRAPEZE)",0.74908858,Professor Nicholas James,Cancer and neoplasms,TRUE,TRUE,TRUE,FALSE
06/301/233,Asymptomatic Carotid Surgery Trial-2 (ACST-2): an international randomised trial to compare carotid endarterectomy with carotid artery stenting to prevent stroke,1.3977269,Professor Alison Halliday,"Cardiovascular,Stroke",TRUE,TRUE,TRUE,FALSE
06/403/501,A randomised controlled trial of a protease inhibitor monotherapy versus continuing combination antiretroviral therapy for HIV-1 infected patients previously established on a dual nucleoside and non-nucleoside combination regimen,0.084452,Professor Nicholas Paton,Infection,TRUE,TRUE,TRUE,TRUE
06/303/20,"CRASH2 Trial, a large randomised placebo controlled trial among trauma patients with significant haemorrhage of the effects of an antifibrinolytic treatment on death and transfusion requirement",2.545661,Professor Ian Roberts,Injuries and Accidents,TRUE,TRUE,TRUE,TRUE
06/403/90,A randomised controlled trial of a protease inhibitor monotherapy versus continuing combination antiretroviral therapy for HIV-1 infected patients previously established on a dual nucleoside and non-nucleoside combination regimen,1.46109895,Professor Nicholas Paton,Infection,TRUE,TRUE,TRUE,FALSE
06/36/04,Multi-centre cluster trial in primary care comparing a community group exercise programme with home based exercise and with usual care for people aged 65 and over,1.70238833,Professor Steve Iliffe,Generic Health Relevance,TRUE,TRUE,TRUE,TRUE
06/404/502,Pragmatic multi-centre randomised trial of surgical versus non-surgical treatment for proximal fracture of the humerus in adults,0.14844719,Professor Amar Rangan,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
06/45/02,"Clinical and cost-effectiveness of foam sclerotherapy, endovenous laser ablation and surgery for varicose veins: results from the CLASS randomised controlled trial.",1.088791,Professor Julie Brittenden,Cardiovascular,TRUE,TRUE,TRUE,FALSE
06/45/501,"Randomised controlled trial comparing foam sclerotherapy, alone or in combination with endovenous laser therapy, with conventional surgery as a treatment for varicose veins",0.15178806,Professor Julie Brittenden,Cardiovascular,TRUE,TRUE,TRUE,FALSE
06/39/02,"A multicentre, randomised, placebo controlled trial of lactic acid bacteria in prevention of antibiotic-associated diarrhoea (AAD) & Clostridium difficile diarrhoea (CDD) in patients aged 65 years & over admitted to hospital and receiving antibiotics",1.464725,Professor Stephen Allen,"Oral and Gastrointestinal,Infection",TRUE,TRUE,TRUE,FALSE
06/404/53,Pragmatic multi-centre randomised trial of surgical versus non-surgical treatment for proximal fracture of the humerus in adults,1.3259596,Professor Amar Rangan,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
07/01/05,A multi-site randomized controlled trial comparing regional and general anaesthesia for effects on neurodevelopmental outcome and apnoea in infants,0.18012123000000002,Dr Graham Bell,Reproductive Health and Childbirth,TRUE,TRUE,TRUE,TRUE
06/404/84,A randomised controlled trial of Outpatient versus inpatient Polyp Treatment (OPT) for abnormal uterine bleeding,1.15528068,Professor T Justin Clark,Reproductive Health and Childbirth,TRUE,TRUE,TRUE,FALSE
07/01/07,Physiotherapy and occupational therapy versus no therapy in mild to moderate Parkinson's disease: a large pragmatic randomised controlled trial (PD REHAB),1.436006,Professor Carl Clarke,Neurological,TRUE,TRUE,TRUE,FALSE
06/43/05,The Randomised Evaluation of the Effectiveness and Acceptability of Computerised Therapy (REEACT) Trial,1.471459,Professor Simon Gilbody,Mental Health,TRUE,TRUE,TRUE,FALSE
07/01/26,Cognitive-behavioural therapy for Health Anxiety in Medical Patients (CHAMP),1.80573708,Professor Peter Tyrer,Mental Health,TRUE,TRUE,TRUE,FALSE
06/80/01,Does home oxygen therapy (HOT) in addition to standard care improve disease severity and symptoms in chronic heart failure?,1.0880104,Professor Andrew Clark,Cardiovascular,TRUE,FALSE,TRUE,FALSE
07/01/34,A randomised controlled trial to investigate the clinical and cost effectiveness of adding an ablation device-based maze procedure as a routine adjunct to elective cardiac surgery for patients with pre-existing atrial fibrillation (AMAZE),0.791632,Mr Samer Nashef,Cardiovascular,TRUE,TRUE,TRUE,FALSE
07/01/44,The PLUTO Trial: Percutaneous shunting in Lower Urinary Tract Obstruction,0.44086541,Professor Mark Kilby,"Reproductive Health and Childbirth,Renal and Urogenital",TRUE,TRUE,TRUE,FALSE
07/01/38,"ARCTIC: A randomised, phase IIB trial in previously untreated patients with
Chronic Lymphocytic Leukaemia (CLL) to
compare fludarabine, cyclophosphamide and rituximab (FCR) with
FC, mitoxantrone and low dose rituximab (FCM-miniR)",0.636052,Professor Peter Hillmen,Cancer and neoplasms,TRUE,TRUE,TRUE,TRUE
07/32/05,Strengthening And stretching for Rheumatoid Arthritis of the Hand (SARAH). A randomised controlled trial and economic evaluation.,0.9769557,Professor Sarah Lamb,Musculoskeletal,TRUE,TRUE,TRUE,FALSE
07/37/61,Comparison of close contact cast (CCC) technique to open surgical reduction and internal fixation (ORIF) in the treatment of unstable ankle fractures in patients over 60 years,1.97955474,Professor Keith Willett,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
07/33/01,"SHIFT.  Self-Harm Intervention, Family Therapy: a randomised controlled trial of family therapy vs. treatment as usual for young people seen after second or subsequent episodes of self-harm",3.405988,Professor David Cottrell,Mental Health,TRUE,TRUE,TRUE,FALSE
07/37/64,Can emergency endovascular aneurysm repair (eEVAR) improves the survival from ruptured abdominal aortic aneurysm?,1.42042867,Professor Janet Powell,Cardiovascular,TRUE,TRUE,TRUE,TRUE
07/36/01,A randomised controlled trial (RCT) of alternative treatments to Inhibit VEGF in patients with Age-related choroidal Neovascularisation (IVAN),3.320522,Professor Usha Chakravarthy,Eye,TRUE,TRUE,TRUE,TRUE
07/37/69,A randomised controlled trial of the LUCAS mechanical compression/decompression device for out of hospital cardiac arrest.,2.03770997,Professor Simon Gates,Cardiovascular,TRUE,TRUE,TRUE,TRUE
07/37/47,"Protocolised Management In Sepsis (ProMISe): a multicentre, randomised controlled trial of the clinical and cost-effectiveness of early protocolised resuscitation for emerging septic shock",2.71208006,Professor Kathryn Rowan,"Inflammatory and Immune System,Infection",TRUE,TRUE,TRUE,TRUE
07/37/501,Comparison of close contact cast (CCC) technique to open surgical reduction and internal fixation (ORIF) in the treatment of unstable ankle fractures in patients over 60 years,0.239206,Professor Keith Willett,Injuries and Accidents,FALSE,TRUE,FALSE,FALSE
07/50/05,Antibiotics for exacerbations of chronic obstructive pulmonary disease: a randomised trial within the General Practice Research Database,0.284443,Professor Liam Smeeth,Respiratory,TRUE,TRUE,FALSE,FALSE
07/60/18,Clinical and cost-effectiveness of surgical options for the management of anterior and/or posterior vaginal wall prolapse: two randomised controlled trials within a Comprehensive Cohort Study,2.30905789,Dr Fiona Reid,Renal and Urogenital,TRUE,TRUE,TRUE,FALSE
07/51/01,Torpedo-CF: Trial of optimal therapy for pseudomonas eradication in cystic fibrosis,1.25397174,Dr Simon Langton Hewer,"Congenital Disorders,Infection",TRUE,TRUE,TRUE,TRUE
07/60/26,VenUS IV (Venous leg Ulcer Study IV): A randomised controlled trial of compression hosiery versus compression bandaging in the treatment of venous leg ulcers,1.03452822,Professor Jo Dumville,Skin,TRUE,TRUE,TRUE,FALSE
07/52/03,"CALORIES: A phase III, open, multicentre, randomised controlled trial comparing the clinical and cost-effectiveness of early nutritional support in critically ill patients via the parenteral versus the enteral route",1.580125,Professor Kathryn Rowan,Generic Health Relevance,TRUE,TRUE,TRUE,TRUE
07/83/01,"ANTIDEPRESSANT CONTROLLED TRIAL FOR NEGATIVE SYMPTOMS IN SCHIZOPHRENIA (ACTIONS) A double-blind, placebo-controlled, randomised clinical trial",1.27884828,Professor Thomas Barnes,Mental Health,TRUE,TRUE,TRUE,TRUE
